,name,section
A004450,삼화왕관,1
A004490,세방전지,1
A004540,깨끗한나라,1
A004545,깨끗한나라우,1
A004560,현대비앤지스틸,1
A004565,현대비앤지스틸우,1
A004690,삼천리,1
A004700,조광피혁,1
A004710,한솔테크닉스,1
A004720,우리들제약,1
A004770,써니전자,1
A004800,효성,1
A004830,덕성,1
A004835,덕성우,1
A004840,DRB동일,1
A004870,티웨이홀딩스,1
A004890,동일산업,1
A004910,조광페인트,1
A004920,씨아이테크,1
A004960,한신공영,1
A004970,신라교역,1
A004980,성신양회,1
A004985,성신양회우,1
A004987,성신양회2우B,1
A004989,성신양회3우B,1
A004990,롯데지주,1
A00499K,롯데지주우,1
A005010,휴스틸,1
A005030,부산주공,1
A005070,코스모신소재,1
A005090,삼광글라스,1
A005110,한창,1
A005180,빙그레,1
A005190,동성화학,1
A005250,녹십자홀딩스,1
A005257,녹십자홀딩스2우,1
A005300,롯데칠성,1
A005305,롯데칠성우,1
A005320,국동,1
A005360,모나미,1
A005380,현대차,1
A005385,현대차우,1
A005387,현대차2우B,1
A005389,현대차3우B,1
A005390,신성통상,1
A005420,코스모화학,1
A005430,한국공항,1
A005440,현대그린푸드,1
A005450,신한,1
A005490,POSCO,1
A005500,삼진제약,1
A005610,SPC삼립,1
A005680,삼영전자,1
A005690,파미셀,1
A005720,넥센,1
A005725,넥센우,1
A005740,크라운해태홀딩스,1
A005745,크라운해태홀딩스우,1
A005750,대림B&Co,1
A005800,신영와코루,1
A005810,풍산홀딩스,1
A005820,원림,1
A005830,DB손해보험,1
A005850,에스엘,1
A005870,휴니드,1
A005880,대한해운,1
A005930,삼성전자,1
A005935,삼성전자우,1
A005940,NH투자증권,1
A005945,NH투자증권우,1
A005950,이수화학,1
A005960,동부건설,1
A005965,동부건설우,1
A006040,동원산업,1
A006060,화승인더,1
A006090,사조오양,1
A006110,삼아알미늄,1
A006120,SK디스커버리,1
A006125,SK디스커버리우,1
A006200,한국전자홀딩스,1
A006220,제주은행,1
A006260,LS,1
A006280,녹십자,1
A006340,대원전선,1
A006345,대원전선우,1
A006360,GS건설,1
A006370,대구백화점,1
A006380,카프로,1
A006390,한일현대시멘트,1
A006400,삼성SDI,1
A006405,삼성SDI우,1
A006490,인스코비,1
A006570,대림통상,1
A006650,대한유화,1
A006660,삼성공조,1
A006740,영풍제지,1
A006800,미래에셋대우,1
A006805,미래에셋대우우,1
A00680K,미래에셋대우2우B,1
A006840,AK홀딩스,1
A006880,신송홀딩스,1
A006890,태경화학,1
A006980,우성사료,1
A007070,GS리테일,1
A007110,일신석재,1
A007120,미래아이앤지,1
A007160,사조산업,1
A007210,벽산,1
A007280,한국특수형강,1
A007310,오뚜기,1
A007340,디티알오토모티브,1
A007460,에이프로젠 KIC,1
A007540,샘표,1
A007570,일양약품,1
A007575,일양약품우,1
A007590,동방아그로,1
A007610,선도전기,1
A007630,폴루스바이오팜,1
A007660,이수페타시스,1
A007690,국도화학,1
A007700,F&F,1
A007810,코리아써키트,1
A007815,코리아써우,1
A00781K,코리아써키트2우B,1
A007860,서연,1
A007980,태평양물산,1
A008040,사조동아원,1
A008060,대덕전자,1
A00806K,대덕전자1우,1
A008110,대동전자,1
A008250,이건산업,1
A008260,NI스틸,1
A008350,남선알미늄,1
A008355,남선알미우,1
A008420,문배철강,1
A008490,서흥,1
A008500,일정실업,1
A008560,메리츠종금증권,1
A008600,윌비스,1
A008700,아남전자,1
A008730,율촌화학,1
A008770,호텔신라,1
A008775,호텔신라우,1
