,name,section
A050320,에이앤티앤,1
A050540,한국코퍼레이션,1
A050760,에스폴리텍,1
A050860,아세아텍,1
A050890,쏠리드,1
A050960,수산아이앤티,1
A051160,지어소프트,1
A051360,토비스,1
A051370,인터플렉스,1
A051380,피씨디렉트,1
A051390,YW,1
A051490,나라엠앤디,1
A051500,CJ프레시웨이,1
A051780,큐로홀딩스,1
A051980,중앙리빙테크,1
A052020,에스티큐브,1
A052190,이에스에이,1
A052220,iMBC,1
A052260,SK바이오랜드,1
A052300,W홀딩컴퍼니,1
A052330,코텍,1
A052400,코나아이,1
A052420,오성첨단소재,1
A052460,아이크래프트,1
A052600,한네트,1
A052670,제일바이오,1
A052710,아모텍,1
A052770,와이디온라인,1
A052790,액토즈소프트,1
A052860,아이앤씨,1
A052900,KMH하이텍,1
A053030,바이넥스,1
A053050,지에스이,1
A053060,세동,1
A053110,소리바다,1
A053160,프리엠스,1
A053260,금강철강,1
A053270,구영테크,1
A053280,예스24,1
A053290,NE능률,1
A053300,한국정보인증,1
A053350,이니텍,1
A053450,세코닉스,1
A053580,웹케시,1
A053590,한국테크놀로지,1
A053610,프로텍,1
A053620,태양,1
A053660,현진소재,1
A053700,삼보모터스,1
A053800,안랩,1
A053950,경남제약,1
A053980,오상자이엘,1
A054040,한국컴퓨터,1
A054050,농우바이오,1
A054090,삼진엘앤디,1
A054180,중앙오션,1
A054210,이랜텍,1
A054220,비츠로시스,1
A054300,팬스타엔터프라이즈,1
A054340,피앤텔,1
A054410,케이피티유,1
A054450,텔레칩스,1
A054540,삼영엠텍,1
A054620,APS홀딩스,1
A054630,에이디칩스,1
A054670,대한뉴팜,1
A054780,키이스트,1
A054800,아이디스홀딩스,1
A054920,한컴시큐어,1
A054930,유신,1
A054940,엑사이엔씨,1
A054950,제이브이엠,1
A056000,신스타임즈,1
A056080,유진로봇,1
A056090,유앤아이,1
A056190,에스에프에이,1
A056360,코위버,1
A056700,신화인터텍,1
A056730,포스링크,1
A057030,와이비엠넷,1
A057500,SKC 솔믹스,1
A057540,옴니시스템,1
A057680,옴니텔,1
A057880,토필드,1
A058110,멕아이씨에스,1
A058220,아리온,1
A058400,KNN,1
A058420,제이웨이,1
A058450,일야,1
A058470,리노공업,1
A058530,슈펙스비앤피,1
A058610,에스피지,1
A058630,엠게임,1
A058820,CMG제약,1
A059090,미코,1
A059100,아이컴포넌트,1
A059120,아진엑스텍,1
A059210,메타바이오메드,1
A060150,인선이엔티,1
A060230,이그잭스,1
A060240,룽투코리아,1
A060250,NHN한국사이버결제,1
A060260,뉴보텍,1
A060280,큐렉소,1
A060300,레드로버,1
A060310,3S,1
A060370,KT서브마린,1
A060380,동양에스텍,1
A060480,국일신동,1
A060540,에스에이티,1
A060560,홈센타홀딩스,1
A060570,아이리버,1
A060590,씨티씨바이오,1
A060720,KH바텍,1
A060900,퍼시픽바이오,1
A061040,알에프텍,1
A061250,화일약품,1
A061970,엘비세미콘,1
A062860,티엘아이,1
A063080,게임빌,1
A063170,서울옥션,1
A063440,SM Life Design,1
A063570,한국전자금융,1
A063760,이엘피,1
A064090,에프앤리퍼블릭,1
A064240,홈캐스트,1
A064260,다날,1
A064290,인텍플러스,1
A064480,브리지텍,1
A064510,에코마이스터,1
A064520,바른전자,1
A064550,바이오니아,1
A064760,티씨케이,1
A064800,필링크,1
A064820,케이프,1
A065060,지엔코,1
A065130,탑엔지니어링,1
A065150,MP그룹,1
A065160,에프티이앤이,1
A065170,넥스트BT,1
